"序号","试题内容","正确选项","A","B","C","D",""
"756","《铁路旅客运输服务质量规范》规定车站垃圾车外表(  )。垃圾及时清运，储运密闭化，固定通道，日产日清。","ABC","无明显污垢","垃圾不散落","污水不外溢","",""
"757","《铁路旅客运输服务质量规范》规定车站由具备资质的专业保洁企业保洁，使用(  )。","ABCD","专业保洁机具","专业清洁工具","清洗剂符合环保要求","不腐蚀、污染设备备品",""
"758","《铁路旅客运输服务质量规范》规定车站保洁人员经过(  )。","ABC","保洁专业知识培训合格","铁路安全知识培训合格","持证上岗","无需持证",""
"759","《铁路旅客运输服务质量规范》规定车站墙壁、玻璃、隔断、护栏等2米以下的部位(  )保洁，车站对保洁作业有检查，有考核。","A","每日","每旬","每月","定期",""
"760","《铁路旅客运输服务质量规范》规定车站2米以上的部位及顶、棚等设施(  )保洁。车站对保洁作业有检查，有考核。","D","每日","每旬","每月","定期",""
"761","《铁路旅客运输服务质量规范》规定车站通风良好，空气质量符合国家规定。有空调的服务处所温度调节适宜，体感舒适，原则上保持冬季(  )，夏季(  )。","C","18℃～26℃","20℃～28℃","18℃～20℃、26℃～28℃","26℃～28℃、18℃～20℃",""
"762","《铁路旅客运输服务质量规范》规定车站无空调的服务处所室内温度冬季不低于(  )，夏季超过(  )时使用电风扇。高寒地区站房进出口处有门斗和防寒挡风门帘（风幕）。","A","14℃、28℃","18℃、28℃","14℃、26℃","16℃、28℃",""
"763","《铁路旅客运输服务质量规范》规定车站各服务处所按规定开展(  )工作，蚊、蝇、鼠、蟑密度控制水平符合国家标准。","ABC","消毒","杀虫","灭鼠","打扫",""
"764","《铁路旅客运输服务质量规范》规定车站落客平台、站台设置的垃圾箱（桶）上有烟灰盒。分设照明开关，使用节能灯具，根据自然光照度及时开启或关闭照明。用水处有节水宣传揭示。","A","对","错","","",""
"765","《铁路旅客运输服务质量规范》规定车站广播语音清晰，(  )。","ABCD","音量适宜","用语规范","内容准确","播放及时",""
"766","《铁路旅客运输服务质量规范》规定车站通告列车运行情况、检票等信息，有(  )等宣传。","ABCD","禁止携带危险品进站上车","旅行安全常识","公共卫生","禁止吸烟",""
"767","《铁路旅客运输服务质量规范》规定车站采用自动语音合成方式，日常重点内容播音录音化，可变信息尽可能集中录制，减少信息合成的频次。","A","对","错","","",""
"768","《铁路旅客运输服务质量规范》规定车站全面服务，重点照顾。无需求无干扰。配备自动售票机、自动检票机、电子显示屏等服务设备，通过广播、揭示揭挂、电子显示等方式宣传服务设备的使用方法，方便旅客自助服务。","A","对","错","","",""
"769","《铁路旅客运输服务质量规范》规定车站有需求有服务。售票处、候车区（室）公布中国铁路12306客户服务中心电话（区号+12306）。实行首问首诉负责制，(  )。","ABCD","旅客问讯时不得无故推托拒绝","对旅客提出的问题不能解决时，指引到相应岗位","做好耐心解释","接听电话时，先向旅客通报单位和工号",""
"770","《铁路旅客运输服务质量规范》规定车站重点关注，优先照顾，做好重点旅客服务。按需为特殊重点旅客提供帮助，(  )。","ABC","有服务","有交接","有登记","",""
"771","《铁路旅客运输服务质量规范》规定车站为有需求的特殊重点旅客提供(  )引导帮扶、协助乘降，以及站内免费轮椅、担架（车）等服务，为视力残疾旅客携带导盲犬提供便利。","ABCD","优先购票、","优先安检","优先验证","优先检票、",""
"772","《铁路旅客运输服务质量规范》规定车站(  )。特殊重点旅客可预约相关服务，车站应设置12306预约旅客会合点。","ABCD","按规定数量配备轮椅等辅助器具，","按规定数量配备担架（车）等辅助器具","定位放置","取用方便",""
"773","《铁路旅客运输服务质量规范》规定车站检票口附近设置不少于2个黄色标志的(  )和不少于1个轮椅停放位置。","B","旅客候车专座","重点旅客候车专座","军人旅客候车专座","特殊旅客候车专座",""
"774","《铁路旅客运输服务质量规范》规定车站设置优先通道，为(  )和“三属”提供优先购票、优先安检、优先验证、优先检票服务，标识醒目，服务到位。","ABC","重点旅客","军人","消防救援人员","旅客",""
"775","《铁路旅客运输服务质量规范》规定车站无障碍电梯或相关设备，正常使用。盲道畅通无障碍。","A","对","错","","",""
"776","《铁路旅客运输服务质量规范》规定车站旅客在站内遗失物品时，帮助（或广播）查找；收到旅客遗失物品(  )。","ABCD","及时登记、公告","登记内容完整","保管措施妥当","处置措施合法",""
"777","《铁路旅客运输服务质量规范》规定车站(  )配备符合规定，有药械请领、使用、交接、回收相关制度。","ABC","医疗急救药箱","药品","器械","担架",""
"778","《铁路旅客运输服务质量规范》规定车站办理(  )等业务，发售优惠票、优待票、签证等各种车票，支持现金、银行卡、电子支付等支付方式。","ABCD","售票","退票","改签","资质核验",""
"779","《铁路旅客运输服务质量规范》规定车站工作时间内暂停售票时设有提示。用餐或交接班时间实行(  )售票。","D","错时","暂停","关闭","错时暂停",""
"780","《铁路旅客运输服务质量规范》规定车站根据车站客流、最早最晚办理客运业务列车到达时刻、售票处位置等合理确定(  )，并在售票处醒目位置公布。","AB","售票处营业时间","本站列车停售时间","列车开车时间","旅客出站时间",""
"781","《铁路旅客运输服务质量规范》规定车站开始营业时间不晚于本站首趟旅客列车开车前(  )分钟，停止营业时间不早于本站最后一趟旅客列车办理客运业务后(  )分钟。","A","30、20","20、30","20、20","30、30",""
"782","《铁路旅客运输服务质量规范》规定车站自动售票机及时补充票据和凭条。设备故障等异常状况处置及时。","A","对","错","","",""
"783","《铁路旅客运输服务质量规范》规定车站票据、现金妥善保管，票面完整、清晰。票据填写规范，(  )。","ABC","内容准确","无涂改","按规定加盖站名戳和名章","可涂改",""
"784","《铁路旅客运输服务质量规范》规定车站安检通道的设置适应客流量和站场条件，旅客走行顺畅，标志指引清晰，通道数量满足常态排队等待时间不超过(  )要求。引导旅客通过安全门并接受手持金属探测器检查，携带品过机检查。","A","5分钟","10分钟","15分钟","20分钟",""
"785","《铁路旅客运输服务质量规范》规定车站候车区（室）(  )。","ABCD","旅客可视范围内有客运人员","及时巡视","解答旅客咨询","妥善处置异常情况",""
"786","《铁路旅客运输服务质量规范》规定车站开始、停止检票时间的设置适应客流量和站场条件，进站口和检票口有(  )的提示。","D","时间","检票时间","停止检票时间","提前停止检票时间",""
"787","《铁路旅客运输服务质量规范》规定车站检票前客运人员提前到岗，(  )，通告车次、停靠站台等检票信息。","ABC","检查检票闸机设备状态","检查检票屏显示的车次信息","检查检票屏显示的停靠站台信息","检查出站口显示屏信息",""
"788","《铁路旅客运输服务质量规范》规定车站检票前客运人员提前到岗，宣传(  )，提醒旅客拿好身份证件。","ABCD","引导持可识读证件的旅客在自动检票通道排队等候","引导重点旅客在人工检票通道处排队等候","引导持不可识读证件旅客在人工检票通道处排队等候","自动检票机的使用方法",""
"789","《铁路旅客运输服务质量规范》规定车站自助检票通道和人工检票通道正常启用，通道数量适应客流情况。","A","对","错","","",""
"790","《铁路旅客运输服务质量规范》规定车站检票时按照(  )的原则组织；设两侧检票口的，对长编组、重联动车组列车同时开启；引导旅客通过自动检票通道、人工检票通道检票进站，防止尾随。","A","先重点、后团体、再一般","先团体、后重点、再一般","先重点、后一般、再团体","先团体、后一般、再重点",""
"791","《铁路旅客运输服务质量规范》规定车站对(  )等人员按规定拒绝进站、乘车。","ABCD","无票","日期车次不符","减价不符","票证人不一致",""
"792","《铁路旅客运输服务质量规范》规定车站停止检票前，通告候车区（室）无漏乘；停止检票时，关闭检票口，通告候车区（室）和站台。","A","对","错","","",""
"793","《铁路旅客运输服务质量规范》规定车站进站口公布候车区（室）营业时间遇雨雪等极端恶劣天气，根据旅客需求临时调整营业时间。","A","对","错","","",""
"794","《铁路旅客运输服务质量规范》规定车站站台客运人员提前到岗，检查(  )。","ABCD","引导屏状态","引导屏显示内容","站台情况","股道情况",""
"795","《铁路旅客运输服务质量规范》规定车站使用引导屏、广播等形式，引导旅客按站台车厢位置在(  )有序乘降。乘降提示铃响时巡视站台，无漏乘。","AB","站台安全标线内排队等候","站台门内排队等候","站台排队等候","站台等候",""
"796","《铁路旅客运输服务质量规范》规定车站旅客列车在列车中部办理站车交接。8辆编组动车组列车在(  )车厢之间。","B","中部","4、5号","8、9号","7、8位",""
"797","《铁路旅客运输服务质量规范》规定车站旅客列车在列车中部办理站车交接。长编组动车组列车在(  )车厢之间。","C","中部","4、5号","8、9号","7、8位",""
"798","《铁路旅客运输服务质量规范》规定车站旅客列车在列车中部办理站车交接。重联动车组列车在列车运行方向前组第(  )位车厢之间。","D","中部","4、5号","8、9号","7、8位",""
"799","《铁路旅客运输服务质量规范》规定车站原则上普速旅客列车始发站开车前(  )分钟、中间站开车前(  )分钟响乘降提示铃。","C","2.、2","1、1","2、1","1、2",""
"800","《铁路旅客运输服务质量规范》规定车站动车组列车开车时间前(  )秒响乘降提示铃；铃声时长(  )秒。","C","30、30","10、10","30、10","10、30",""
"801","《铁路旅客运输服务质量规范》规定车站动车组列车完成当日乘务运行交路到达终到站后，有卸污、给水作业的，列车长确认旅客乘降和乘务作业完毕后，通知车站客运人员。","A","对","错","","",""
"802","《铁路旅客运输服务质量规范》规定车站站台客运人员确认列车客运乘务组退乘完毕，确认列车卸污、给水等作业完毕后通知司机关闭车门。","A","对","错","","",""
"803","《铁路旅客运输服务质量规范》规定车站始发普速旅客列车1人值乘多个车厢、客流较大需双开车门时，列车负责值守增开的车门。","B","对","错","","",""
"804","《铁路旅客运输服务质量规范》规定车站同一站台有两趟列车同时进行乘降作业时，有宣传，有引导，无误乘。","A","对","错","","",""
"805","《铁路旅客运输服务质量规范》规定车站出站检票人员提前到岗，检查(  )。","ABCD","自动检票机","柱式检票机","手持移动检票终端","出站屏状态和内容",""
"806","《铁路旅客运输服务质量规范》规定车站引导旅客通过自助检票通道和人工检票通道检票出站，秩序良好，防止尾随。人工检票通道须使用柱式检票机、手持移动检票终端等，(  )。","AB","读取身份证件信息","录入身份证件号核验旅客购票信息","购票信息","车次信息",""
"807","《铁路旅客运输服务质量规范》规定车站对违章乘车旅客及违章携带品正确处理，票款收付准确。","A","对","错","","",""
"808","《铁路旅客运输服务质量规范》规定车站在列车出站后及时清理，站台、通道无滞留人员。","A","对","错","","",""
"809","《铁路旅客运输服务质量规范》规定车站高铁快运作业场地满足(  )等作业要求，其位置可方便、快捷进出车站和站台。","ABC","集散分拣","装卸作业","集装容器暂存","存放行李",""
"810","《铁路旅客运输服务质量规范》规定车站高铁快件经指定通道进出车站、站台，可不执行安全检查规定。","B","对","错","","",""
"811","《铁路旅客运输服务质量规范》规定车站高铁快运使用(  )等集装容器运输。","ABCD","周转箱","集装包","集装袋","蓄冷箱",""
"812","《铁路旅客运输服务质量规范》规定车站装卸、搬运集装件时轻搬轻放，堆码整齐。合理安排装车计划，(  )；装卸车作业过程不干扰旅客乘降。装车完毕后向列车长汇报集装件装车位置及件数。","ABCD","列车到站前将集装件提前搬运至站台指定位置","列车停稳后按计划装载","始发站在旅客上车前完成装车","中途站在乘降提示铃响前完成装车",""
"813","《铁路旅客运输服务质量规范》规定运输过程中发生集装件包装松散、破损时，有记录、有交接。","A","对","错","","",""
"814","《铁路旅客运输服务质量规范》规定车站到站卸车提前到位，立岗接车。(  )，凭客运记录或现场检查，核实现状，办理交接。","ABC","集装件外包装破损","集装件施封破损","集装件短少的","集装件无异状",""
"815","《铁路旅客运输服务质量规范》规定车站遇动车组列车在站临时更换车底或终止运行时，协助列车客运乘务组完成集装件换车，必要时临时看管卸下的集装件。","A","对","错","","",""
"816","《铁路旅客运输服务质量规范》规定车站高铁快运作业区(  )。","ABCD","无闲杂人员出入","无非高铁快运工作人员查找","无非高铁快运工作人员搬运","发现非工作人员持集装件出站时当场制止",""
"817","《铁路旅客运输服务质量规范》规定车站高铁快运装卸人员经过(  )培训合格，持证上岗。","ABC","装卸作业知识","装卸作业技能","铁路安全知识","客运知识",""
"818","《铁路旅客运输服务质量规范》规定车站设有行包房的，设置承运、交付办理窗口。承运行包及时准确，执行安全检查规定，品名相符，正确检斤、制票，运杂费收付无误，(  )。","ABCD","运杂费唱收唱付","不逾期","不破损","不丢失",""
"819","《铁路旅客运输服务质量规范》规定车站承运限制运输的物品时，按规定查验相关的运输证明；需要押运的物品按规定办理押运手续。","A","对","错","","",""
"820","《铁路旅客运输服务质量规范》规定车站装卸、搬运行包，（  ），箭头向上、稳固整齐、标签向外，按批分清。","ABCD","轻搬轻放","大不压小","重不压轻","方不压圆",""
"821","《铁路旅客运输服务质量规范》规定(  )，外包装上粘贴或印制有安全标志；运输过程中发生行包包装松散、破损及时修整，并有记录、有交接。","ABC","易碎品","流质物品","一级运输包装的放射性同位素","行李物品",""
"822","《铁路旅客运输服务质量规范》规定车站到达行包核对信息，妥善保管，(  )。对无法交付的行包及时公告，按规定处理。","ABCD","及时通知","准确验货","正确交付","按规定期限保管",""
"823","《铁路旅客运输服务质量规范》规定车站认真处理行包差错，发生行包损失(  )。","D","先定责、后赔付","先赔付、不定责","不赔付、后定责","先赔付、后定责",""
"824","《铁路旅客运输服务质量规范》规定车站仓库内(  )。","ABC","无闲杂人员出入","无非行包工作人员查找、搬运行包","无非装卸工作人员查找、搬运行包","无装卸工作人员",""
"825","《铁路旅客运输服务质量规范》规定车站行包装卸单位具备相应资质；装卸人员经过(  )培训合格，持证上岗。","ABC","装卸作业知识","装卸作业技能","铁路安全知识","客运知识",""
"826","《铁路旅客运输服务质量规范》规定车站按规定实行托运。核验有效身份证件与托运人的一致性。","B","对","错","","",""
"827","《铁路旅客运输服务质量规范》规定车站执行行包运输方案。装卸列车时，(  )。","BCD","先装后卸","先卸后装","按照列车行李员指定货位码放","规范办理站车交接",""
"828","《铁路旅客运输服务质量规范》规定车站给水站根据给水方案配备给水人员，(  )。","ABCD","防护用具齐全","按指定线路提前到指定位置接送车","有人防护","同去同回",""
"829","《铁路旅客运输服务质量规范》规定按规定程序及时给水，普速旅客列车始发列车辆辆满水，动车组列车当日第一趟车始发时应辆辆满水，(  )。","ABCD","中途站按给水方案补水","有注水口的挡板锁闭","水管摆放整齐（有自动回卷功能的水管回卷到位）","管头插入上水井内",""
"830","《铁路旅客运输服务质量规范》规定卸污站按规定进行卸污作业，保持作业清洁。作业完毕，向站台客运人员报告。","A","对","错","","",""
"831","《铁路旅客运输服务质量规范》规定有火灾爆炸、重大疫情、旅客食物中毒、恶劣天气、线路中断、列车大面积晚点、旅客滞留、旅客人身伤害、客票系统故障、管控平台(旅服系统)故障、站内换乘（启用热备车底等）、电梯故障、坠入股道、列车严重超员、站台紧急停车、列车未完全停靠站台等非正常情况下的应急处置措施。有与地方政府的应急处置联动机制。","A","对","错","","",""
"832","《铁路旅客运输服务质量规范》规定遇非正常情况时，及时采取应急处置措施，掌握(  )等情况，维持站内秩序，准确通报信息，做好咨询、解释、安抚、退改签等善后工作。","ABCD","售票","候车","旅客滞留","行包（快运）运输",""
"833","《铁路旅客运输服务质量规范》规定遇非正常情况时，及时采取应急处置措施，掌握售票、候车、旅客滞留及行包（快运）运输等情况，维持站内秩序，准确通报信息，做好(  )等善后工作。","ABCD","咨询","解释","安抚","退改签",""
"834","《铁路旅客运输服务质量规范》规定动车组列车晚点(  )分钟及以上、其他旅客列车晚点(  )分钟及以上时，应公告旅客。","C","15、15","30、30","15、30","30、15",""
"835","《铁路旅客运输服务质量规范》规定车站向旅客公告列车晚点时间，(  )。电子显示屏实时显示。按规定做好退票、改签、逢餐点向列车提供应急餐食服务保障措施，协调市政交通衔接。","ABCD","已确定原因的要说明晚点原因","做好宣传解释工作","做好客运服务工作","广播每次间隔不超过30分钟",""
"836","《铁路旅客运输服务质量规范》规定车站向旅客公告列车晚点时间，已确定原因的要说明晚点原因，并做好宣传解释和客运服务工作，广播每次间隔不超过(  )分钟。电子显示屏实时显示。按规定做好退票、改签、逢餐点向列车提供应急餐食服务保障措施，协调市政交通衔接。","D","10","15","20","30",""
"837","《铁路旅客运输服务质量规范》规定遇列车在车站空调失效时，站车共同组织；必要时，(  )。","ABCD","组织旅客下车","组织旅客换乘其他列车","组织旅客疏散到车站安全处所","到站按规定退还票价差额",""
"838","《铁路旅客运输服务质量规范》规定遇车底变更时，车站按车底变更计划调整席位，组织旅客换乘，告知列车，并按规定办理改签、退票。","A","对","错","","",""
"839","《铁路旅客运输服务质量规范》规定遇售票、检票系统故障时，(  )。","ABCD","组织维护部门进行故障排查","按规定启用应急售票","按规定启用应急换票程序","组织人工办理检票",""
"840","《铁路旅客运输服务质量规范》规定载客动车组列车运输途中临时更换车底或终止运行时，集装件需换乘的，有押运员时由押运员负责；无押运员时，换乘地点在车站的，列车长应将本列集装件装载情况报告运行所在地铁路局集团公司客运行包调度员（客运调度员），由铁路局集团公司客运行包调度员（客运调度员）通知所在地快运公司。","A","对","错","","",""
"841","《铁路旅客运输服务质量规范》规定快运公司人员无法及时登乘热备(备用)车时，换乘地点在车站的，(  )；换乘地点在区间的，集装件随原列车回程。","ABCD","车站应协助原列车乘务组完成集装件换乘","不具备换乘条件时，集装件可随原列车回程","不具备换乘条件时，将集装件卸下交车站临时看管","车站通知所在地快运公司到站接收",""
"842","《铁路旅客运输服务质量规范》规定备有喇叭、手持应急照明灯具、应急车次牌、隔离设施等应急物品，(  )。有应急食品储备或定点食品供应商联系供应机制。","AB","定点存放","定期检查功能状态","妥善存放","可检查功能状态",""
"843","《铁路旅客运输服务质量规范》规定车站有应急培训和演练，有记录，有结果，有考核。","A","对","错","","",""
"844","《铁路旅客运输服务质量规范》规定车站春、暑运，节假日等客流高峰时期，可根据情况(  )，满足客流需要。临时候车场所有饮用水供应、卫生间等设备设施，配备适量重点旅客座席。","ABCD","采取限时进站","采取暂停商业营业","必要时可增设临时售票、候车场所","必要时可增设临时进站通道",""
"845","《铁路旅客运输服务质量规范》规定车站站内商业场所、位置、面积、业态布局统一规划，(  )，有商业经营管理规范，对经营行为有检查，有考核。","ABCD","不占用旅客候车空间","不影响旅客乘降流线","不遮挡旅客服务信息","统一标志，统一服务内容，统一服务标准",""
"846","《铁路旅客运输服务质量规范》规定车站站内商业、广告应与客运标识统筹设计，不得影响站内客运标识正常使用。","A","对","错","","",""
"847","《铁路旅客运输服务质量规范》规定车站经营单位持有效经营许可，经营行为规范，明码标价，文明售货，提供发票。严禁虚假宣传，不得大声叫卖或外放音频，不出售(  )等严重影响环境卫生的食品。","ABCD","禁止或限量携带等影响运输安全的商品","无生产单位、无生产日期、无保质期","口香糖","过期、变质以及口香糖",""
"848","《铁路旅客运输服务质量规范》规定车站站内经营单位运送物料和备品，应在(  )时段，不得影响旅客通行和安检。","A","客流较低","客流集中","客流高峰","客流限制",""
"849","《铁路旅客运输服务质量规范》规定车站餐饮食品经营场所环境(  )。","ABCD","卫生符合要求","用具清洁","消毒合格","生熟（成品、半成品）分开",""
"850","《铁路旅客运输服务质量规范》规定车站销售散装熟食品时，(  )。","ABCD","有防蝇措施","有防尘措施","不徒手接触食品","按规定佩戴餐饮专用口罩",""
"851","《铁路旅客运输服务质量规范》规定车站站内广告设置场所、位置、面积、形式统一规划，广告设施(  )。","ABCD","安全牢固","形式规范","内容健康","与车站环境相协调",""
"852","《铁路旅客运输服务质量规范》规定车站站内广告不挤占、遮挡图形标志、业务揭示、安全宣传等客运服务信息，(  )。","AB","不影响客运服务功能","不影响安全","不影响效果","不影响美观",""
"853","《铁路旅客运输服务质量规范》规定车站旅客通道内安装的广告牌(  )。除围墙、栅栏外，无直接涂写、张贴式广告。广播系统不发布音频广告。播放视频时不得外放声音。","ABC","使用嵌入式灯箱","突出墙面部分不超过200毫米","棱角部位采取打磨、倒角处理","",""
"854","《铁路旅客运输服务质量规范》规定车站管理制度健全完善，有考核，有记载。定期分析安全和服务质量状况，有针对性具体整改措施。","A","对","错","","",""
"855","《铁路旅客运输服务质量规范》规定车站业务办理符合规定，票据、台账、报表填写规范、清晰。(  )。","ABCD","营运进款结算准确","票据入柜加锁","现金入柜加锁","及时解款",""
"856","《铁路旅客运输服务质量规范》规定车站定期召开站区结合部协调会，有监督，有检查，有考核。","A","对","错","","",""
"857","《铁路旅客运输服务质量规范》规定车站定期开展职业技能培训，培训内容适应岗位要求，评判准确，培训到位。","A","对","错","","",""
"858","《铁路旅客运输服务质量规范》规定客运人员身体健康，五官端正，持有效健康证明。新职人员具备(  )及以上文化程度。","ABC","高中","职高","中专","初中",""
"859","《铁路旅客运输服务质量规范》规定客运人员持有效上岗证，经过岗前安全、技术业务培训合格。(  )须具有客运服务工作2年以上工作经历。","ABCD","客运值班员","售票值班员","客运计划员","车站综控员",""
"860","《铁路旅客运输服务质量规范》规定车站客运人员(  )。","ABCD","熟练使用本岗位相关设备设施","熟知本岗位业务知识和职责","掌握本岗位应急处置作业流程","具备应对突发事件的能力",""
"861","《铁路旅客运输服务质量规范》规定一类客运车站：指省会城市、直辖市、计划单列市主要车站；或日均发送(  )的车站。","A","超过20000人以上","4000~20000人","800~4000人","800人以下",""
"862","《铁路旅客运输服务质量规范》规定一类客运车站应设有车站和列车工作人员间休场所和生产生活设施。","A","对","错","","",""
"863","《铁路旅客运输服务质量规范》规定一类车站可在售票及出站场所设置(  )。","A","外币自助兑换机","出租车","便捷换乘标志","临时乘车身份证明自助办理设备",""
"864","《铁路旅客运输服务质量规范》规定一类车站设有公安制证处（窗口），提供临时乘车身份证明办理服务。有条件的可配置（  ）。","D","外币自助兑换机","出租车","便捷换乘标志","临时乘车身份证明自助办理设备",""
"865","《铁路旅客运输服务质量规范》规定一类车站设置不少于(  )处充电区，每个充电区能同时满足不少于(  )名旅客使用五孔电源插头和USB/Type-C充电插头对电脑、手机等常用电子产品应急充电需要。可结合座椅设置免费手机充电功能。","A","4、10","2、10","1、10","1、5",""
"866","《铁路旅客运输服务质量规范》规定一类车站设有(  )，设置独立封闭的商务座候车区、便捷检票通道和进出站专用通道。","ABCD","重点旅客候车区","军人候车区","儿童娱乐候车区","哺乳室（不少于2处）",""
"867","《铁路旅客运输服务质量规范》规定一类车站铁路局集团公司自行设计的制服，应统一着装标准。","A","对","错","","",""
"868","《铁路旅客运输服务质量规范》规定一类车站保洁工具定点隐蔽存放。设有(  )，不影响旅客候车、乘降。","ABD","供保洁作业使用的水、设施","供保洁作业使用的电设施","存放保洁机具、清扫工具的处所","存放保洁机具、清扫工具的处所应相对独立并满足充电需求",""
"869","《铁路旅客运输服务质量规范》规定一类车站服务备品齐全完整，质地良好，符合国家环保规定。卫生间配有卫生纸、(  )，及时补充。","ABCD","洗手液","擦手纸（干手器），","坐便器配备手动便座给皂器","坐便器配备一次性坐便垫圈",""
"870","《铁路旅客运输服务质量规范》规定一类车站规定使用(  )双语播报客运作业信息。民族自治地区车站可根据需要增加当地通用的民族语言播音。","AB","普通话","英语","蒙语","汉语",""
"871","《铁路旅客运输服务质量规范》规定一类车站设置重点旅客候车区，标志醒目，候车区域使用面积不小于(  )平方米，设有到发通告系统，提供检票提醒服务。","B","150","100","50","30",""
"872","《铁路旅客运输服务质量规范》规定一类车站设置儿童娱乐候车区，(  )。","ABCD","标志醒目","空间相对独立","配备安全儿童游乐设施","配备简易儿童游乐设施",""
"873","《铁路旅客运输服务质量规范》规定一类车站要提高服务品质，规范服务管理，做好商务座旅客服务。为商务座旅客提供(  )等服务。","ABCD","专用通道","专区候车","专人引导","便捷出站",""
"874","《铁路旅客运输服务质量规范》规定一类车站对商务座旅客安排(  )。根据旅客出站引导预约情况，安排专人引导出站。","ABCD","专人迎送引导","检票口提供便捷检票服务","送至车厢门口","主动为旅客提供行李提拉服务",""
"875","《铁路旅客运输服务质量规范》规定一类车站设置专用通道。(  )。","ABC","进站口设置直接进入商务座候车区的专用进站通道","出站口设置专用出站通道","检票口侧门设置便捷检票通道","站台设置通道",""
"876","《铁路旅客运输服务质量规范》规定一类车站为军人、消防救援人员和“三属”（烈士遗属、因公牺牲军人遗属、病故军人遗属）设置军人候车区，标志醒目，候车区域使用面积不小于(  )平方米，设有到发通告系统，提供检票提醒服务。具备条件的车站，军人候车区可单独设置。","C","100","80","50","30",""
"877","《铁路旅客运输服务质量规范》规定一类车站可不设值班站长岗位。候车区（室）具备“行程信息提示”打印等功能。","B","对","错","","",""
"878","《铁路旅客运输服务质量规范》规定一类车站候车区（室）开始营业时间不晚于首趟办客旅客列车(  )分钟，停止营业时间不早于最后一趟旅客列车开车时间。","C","开车前80","开车前60","开车前30","开车前20",""
"879","《铁路旅客运输服务质量规范》规定一类车站候车区（室）营业时间内(  )。","ABCD","提供餐饮等商业服务","便利店等商业服务","开展车站行李自助寄存和行李搬运有偿服务，明码标价","行李搬运服务无诱导消费行为",""
"880","《铁路旅客运输服务质量规范》规定一类车站站内经营单位运送物料和备品可设置相对独立的运送和安检通道。","A","对","错","","",""
"881","《铁路旅客运输服务质量规范》规定一类车站通过开设(  )等方式，开展列车热链餐食供应。互联网订餐车站保障餐食供应，上线商家不少于3家。","ABC","铁路主题餐厅","建设车站厨房","与站内商家合作","与商家合作",""
"882","《铁路旅客运输服务质量规范》规定一类车站每班配置不少于(  )名具有红十字救护员资质的客运人员。","C","4","3","2","1",""
"883","《铁路旅客运输服务质量规范》规定一、二类客运车站应有旅客候车、乘降、(  )等安全防范措施。","ABCD","进出站","行包（快运）","给水","配餐",""
"884","《铁路旅客运输服务质量规范》规定一、二类客运车站应与商业、(  )等部门以及与给水、卸污、保洁、安检、餐售、餐料配送等业务外包单位有安全协议。","ABCD","广告","物业","快运","邮政",""
"885","《铁路旅客运输服务质量规范》规定一、二类车站候车区（室）设有12306服务台，位置适当，标志醒目，配备(  )的设备，接入铁路办公网、客票网，具备接入互联网条件。","ABCD","存放服务资料","存放服务备品","信息终端","视频监控",""
"886","《铁路旅客运输服务质量规范》规定一、二类车站站台(  )设置座椅，列车垃圾投放站每个站台设置的垃圾投放点不少于8处，配置的座椅、垃圾箱（桶）、广告灯箱等设备设施安放牢固，不影响旅客通行。","A","应","宜","必须","可以",""
"887","《铁路旅客运输服务质量规范》规定一、二类车站(  )每人配备音视频记录仪，安检处置台配备音视频记录仪，其他岗位按需配备，作用良好。","ABCD","值班站长","客运值班员","站台客运员","给水员",""
"888","《铁路旅客运输服务质量规范》规定一、二类车站设置12306服务台，提供咨询、求助、投诉、信息查询、改签、遗失物品、常旅客、重点旅客等服务，专人负责，及时回应；(  )提供自助票务服务。","A","可","宜","要","需",""
"889","《铁路旅客运输服务质量规范》规定一、二类车站设置商务座候车专区，标志醒目，(  )。","ABCD","配备商务座旅客服务系统","提供提前检票服务","免费提供饮品、食品","免费提供报刊",""
"890","《铁路旅客运输服务质量规范》规定一、二类车站提供饮品不少于5种，茶水全程供应。","B","对","错","","",""
"891","《铁路旅客运输服务质量规范》规定一、二类车站提供食品不少于6种，宜选用非油炸类点心、蜜饯类、坚果类等(  )的休闲小食品，独立小包装。","ABCD","无壳","无核","无皮","无骨",""
"892","《铁路旅客运输服务质量规范》规定一、二类车站配备报纸、期刊、杂志、书籍等，定期更换。","A","对","错","","",""
"893","《铁路旅客运输服务质量规范》规定一、二类车站按规定实行实名制验证，核验车票、有效身份证件、旅客的一致性。(  ),实名制验证可与检票作业合并。","A","具备条件的车站","所有车站","一类车站","二类车站",""
"894","《铁路旅客运输服务质量规范》规定一、二类车站实名制验证通道和安检通道应设置绿色（急客/爱心）通道。","A","对","错","","",""
"895","《铁路旅客运输服务质量规范》规定一、二类车站换乘客流大的车站设置站内换乘流线，换乘旅客从站台到候车区（室）走行距离(  )米，配备相应的设备和引导标志。","A","不超过800","不超过600","不超过500","不超过300",""
"896","《铁路旅客运输服务质量规范》规定一、二、三类车站内使用的平板推车等专用机具应具备止轮装置，(  )经指定通道进出站台，在指定位置存放。","ABCD","符合常态制动要求","配备作业单位标识","实行编号管理","采取防滑、防溜、防撞措施，",""
"897","《铁路旅客运输服务质量规范》规定一、二、三类车站内使用的行包、邮政拖车(  )。","ABCD","重车（含混编）不超过4辆","空车不超过5辆","混编时重车在前","混编时空车在后",""
